Name,Description
ghrA,glyoxylate/hydroxypyruvate reductase A
aceE,pyruvate dehydrogenase E1 component
rlmI,23S rRNA m<sup>5</sup>C1962 methyltransferase
motB,motility protein B
yjbF,lipoprotein YjbF
dnaB,replicative DNA helicase
rplW,50S ribosomal subunit protein L23
ypfG,DUF1176 domain-containing protein YpfG
allE,(S)-ureidoglycine aminohydrolase
yciG,stress-induced bacterial acidophilic repeat motifs-containing protein YciG
ugpB,<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein
ydgK,DUF2569 domain-containing inner membrane protein YdgK
kdpD,sensor histidine kinase KdpD
rutE,putative malonic semialdehyde reductase
rirA,small regulatory RNA RirA
yccS,putative transporter YccS
thyA,thymidylate synthase
mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase
ycgI,protein YcgI
citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
kch,K<sup>+</sup> channel Kch
ymfL,e14 prophage; uncharacterized protein YmfL
ompX,outer membrane protein X
proA,glutamate-5-semialdehyde dehydrogenase
wecE,dTDP-4-dehydro-6-deoxy-D-glucose transaminase
btuB,cobalamin outer membrane transporter
fliL,flagellar protein FliL
ugpE,<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpE
actP,acetate/glycolate:cation symporter
mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein
mtlD,mannitol-1-phosphate 5-dehydrogenase
ydcZ,putative inner membrane protein YdcZ
yfhM,&alpha;<sub>2</sub>-macroglobulin
ymfD,e14 prophage; putative SAM-dependent methyltransferase YmfD
ccmG,thiol:disulfide oxidoreductase CcmG
trhA,transmembrane homeostasis protein A
glyW,tRNA-Gly(GCC)
gltS,glutamate:sodium symporter
insD1,IS2 element protein
argG,argininosuccinate synthetase
fimR2,small regulatory RNA FimR2
yiiM,6-hydroxyaminopurine reductase
yeaH,DUF444 domain-containing protein YeaH
yqjE,inner membrane protein YqjE
yagJ,CP4-6 prophage; protein YagJ
citT,citrate:succinate antiporter
ssuB,aliphatic sulfonate ABC transporter ATP binding subunit
kduD,putative 2-keto-3-deoxy-D-gluconate dehydrogenase
queA,tRNA preQ134 S-adenosylmethionine ribosyltransferase-isomerase
ygcR,putative flavoprotein
bglF,&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase
glyT,tRNA-Gly(UCC)
ibsA,toxic peptide IbsA
ybaP,TraB family protein YbaP
marR,DNA-binding transcriptional repressor MarR
galT,galactose-1-phosphate uridylyltransferase
ykfK,
tfaD,DLP12 prophage; putative tail fiber assembly protein TfaD
glgX,"limit dextrin alpha-1,6-glucohydrolase"
gapC,glyceraldehyde-3-phosphate dehydrogenase
yhdE,nucleoside triphosphate pyrophosphatase YhdE
folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
oppA,oligopeptide ABC transporter periplasmic binding protein
leuX,tRNA-Leu(CAA)
dcp,peptidyl-dipeptidase Dcp
yaiY,DUF2755 domain-containing inner membrane protein YaiY
ygeY,putative peptidase YgeY
dgcQ,diguanylate cyclase DgcQ
flgC,flagellar basal-body rod protein FlgC
aroK,shikimate kinase 1
yfcS,putative fimbrial chaperone YfcS
ptsP,PtsP-<i>N</i>-phospho-L-histidine // phosphoenolpyruvate-protein phosphotransferase PtsP
icd,isocitrate dehydrogenase
rbsB,ribose ABC transporter periplasmic binding protein
nhaA,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA
yfcP,putative fimbrial protein YfcP
lysP,lysine:H+ symporter
umpH,UMP phosphatase
icdC,protein IcdC
digH,divisome localized glycosyl hydrolase
yohP,uncharacterized membrane protein YohP
clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
elfC,putative fimbrial usher protein ElfC
dnaC,DNA replication protein DnaC
yhfU,DUF2620 domain-containing protein YhfU
yqeJ,protein YqeJ
yohD,DedA family protein YohD
yhbX,putative hydrolase YhbX
yfcJ,putative transporter YfcJ
ybaT,putative transporter YbaT
yidE,putative transport protein YidE
yfbR,dCMP phosphohydrolase
cysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW
spoT,bifunctional (p)ppGpp synthase/hydrolase SpoT
sapC,putrescine ABC exporter membrane protein SapC
insI3,KpLE2 phage-like element; IS30 transposase
gyrA,DNA gyrase subunit A
yqaB,fructose-1-phosphate phosphatase YqaB
pgsA,CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase
yhaJ,DNA-binding transcriptional activator YhaJ
serW,tRNA-Ser(GGA)
ninE,DLP12 prophage; NinE family prophage protein
chbA,"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component"
fucO,"L-1,2-propanediol oxidoreductase"
aceF,dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit
mutH,DNA mismatch repair protein MutH
nagC,DNA-binding transcriptional dual regulator NagC
hokB,toxin HokB
mliC,"inhibitor of c-type lysozyme, putative lipoprotein"
dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
yggX,putative Fe<sup>2+</sup>-trafficking protein
rlmD,23S rRNA m<sup>5</sup>U1939 methyltransferase
ygfK,"putative oxidoreductase, Fe-S subunit"
tap,methyl-accepting chemotaxis protein Tap
prc,tail-specific protease
argF,CP4-6 prophage; ornithine carbamoyltransferase ArgF
stfE,e14 prophage; putative side tail fiber protein fragment
yfjV,CP4-57 prophage; putative arsenite transporter
ansA,L-asparaginase 1
fucI,L-fucose isomerase
glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B
mreD,cell shape determining protein MreD
slmA,nucleoid occlusion factor SlmA
glnK,uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2
ycaK,putative oxidoreductase YcaK
ileS,isoleucine&mdash;tRNA ligase
cbrA,colicin M resistance protein
mqsA,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA
purC,phosphoribosylaminoimidazole-succinocarboxamide synthase
hybC,hydrogenase 2 large subunit
yicI,&alpha;-D-xyloside xylohydrolase
yfcA,putative transporter YfcA
yraR,putative nucleoside-diphosphate-sugar epimerase
pldA,outer membrane phospholipase A
slt,soluble lytic murein transglycosylase
ynfF,putative selenate reductase YnfF
ygcO,putative 4Fe-4S cluster-containing protein
bglH,"carbohydrate-specific outer membrane porin, cryptic"
ybcW,DLP12 prophage; uncharacterized protein YbcW
yfjI,CP4-57 prophage; DUF3987 domain-containing protein YfjI
ulaF,L-ribulose-5-phosphate 4-epimerase UlaF
yggE,DUF541 domain-containing protein YggE
pepT,peptidase T
yfdL,CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL
yghJ,putative lipoprotein YghJ
leuT,tRNA-Leu(CAG)
yihQ,sulfoquinovosidase
yijO,putative DNA-binding transcriptional regulator YijO
fis,DNA-binding transcriptional dual regulator Fis
pbpC,peptidoglycan glycosyltransferase PbpC
dld,quinone-dependent D-lactate dehydrogenase
kefG,glutathione-regulated potassium-efflux system ancillary protein KefG
ldrB,small toxic polypeptide LdrB
yicJ,putative xyloside transporter YicJ
yffP,CPZ-55 prophage; uncharacterized protein YffP
yehY,glycine betaine ABC transporter membrane subunit YehY
yaiS,putative deacetylase YaiS
gsk,inosine/guanosine kinase
lysC,aspartate kinase III
melA,&alpha;-galactosidase
yqiG,putative outer membrane usher protein YqiG
dnaG,DNA primase
tsaD,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaD subunit"
ddpX,D-alanyl-D-alanine dipeptidase
yjcB,uncharacterized protein YjcB
yedK,genome maintenance protein
insN,CP4-6 prophage; IS911A regulator fragment
yafP,putative <i>N</i>-acetyltransferase YafP
mreB,dynamic cytoskeletal protein MreB
G0-10702,
cysG,siroheme synthase
elfA,putative laminin-binding fimbrial subunit
allA,ureidoglycolate lyase
rhaD,rhamnulose-1-phosphate aldolase
djlA,co-chaperone protein DjlA
ybiW,putative pyruvate formate lyase
leuA,2-isopropylmalate synthase
insEF4,IS3 element transposase
fliK,flagellar hook-length control protein
parE,DNA topoisomerase IV subunit B
ygcW,putative deoxygluconate dehydrogenase
rrfD,5S ribosomal RNA
mcaS,small regulatory RNA McaS
frlB,fructoselysine 6-phosphate deglycase
eno,enolase
fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein
yhcO,putative barnase inhibitor
cheZ,chemotaxis protein CheZ
ydaS,Rac prophage; putative DNA-binding transcriptional regulator YdaS
ytfA,putative transcriptional regulator YtfA
adhP,ethanol dehydrogenase / alcohol dehydrogenase
pinE,e14 prophage; site-specific DNA recombinase
ybhL,Bax1-I family protein YbhL
glcA,glycolate/lactate:H<sup>+</sup> symporter GlcA
wzzB,O-antigen co-polymerase
b4247,
yagB,CP4-6 prophage; orphan antitoxin YagB
ydfI,putative oxidoreductase YdfI
modA,molybdate ABC transporter periplasmic binding protein
ldtD,"L,D-transpeptidase LdtD"
dadA,D-amino acid dehydrogenase
cbl,DNA-binding transcriptional activator Cbl
ybiT,putative ATP-binding protein YbiT
gatY,"tagatose-1,6-bisphosphate aldolase 2"
rpoD,RNA polymerase sigma factor RpoD
nuoG,NADH:quinone oxidoreductase subunit G
yjdI,PF06902 family protein YjdI
chaC,glutathione-specific &gamma;-glutamylcyclotransferase
alaU,tRNA-Ala(UGC)
nrdF,ribonucleoside-diphosphate reductase 2 subunit &beta;
cysB,DNA-binding transcriptional dual regulator CysB
hycF,hydrogenase 3 iron-sulfur protein HycF
fdhD,sulfurtransferase for molybdenum cofactor sulfuration
gadA,glutamate decarboxylase A
yddA,ABC transporter family protein YddA
hyfF,hydrogenase 4 component F
lon,Lon protease
rsxB,SoxR [2Fe-2S] reducing system protein RsxB
astA,arginine N-succinyltransferase
lptG,lipopolysaccharide transport system protein LptG
ybaB,putative nucleoid-associated protein YbaB
bacA,undecaprenyl pyrophosphate phosphatase
ileV,tRNA-Ile(GAU)
ypjA,adhesin-like autotransporter YpjA
yagK,CP4-6 prophage; uncharacterized protein YagK
yjiX,PF04328 family protein YjiX
bioP,biotin transporter
arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase
cobB,CobB-S // protein-lysine deacetylase/desuccinylase/delipoylase
ftsO,small regulatory RNA FtsO
yhfW,putative mutase YhfW
ydiE,PF10636 family protein YdiE
asmA,putative assembly protein AsmA
hisH,imidazole glycerol phosphate synthase subunit HisH
dgcF,putative diguanylate cyclase DgcF
aqpZ,water channel AqpZ
rffH,glucose-1-phosphate thymidylyltransferase 2
ydhT,uncharacterized protein YdhT
casC,type I-E CRISPR system Cascade subunit CasC
yicN,DUF1198 domain-containing protein YicN
yfiC,tRNA m<sup>6</sup>A37 methyltransferase
yobF,DUF2527 domain-containing protein YobF
ythB,protein YthB
ada,DNA-binding transcriptional dual regulator / DNA repair protein Ada
yfdQ,CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ
ydaT,Rac prophage; putative transcriptional regulator YdaT
aspT,tRNA-Asp(GUC)
malT,DNA-binding transcriptional activator MalT
yfaY,IPR008135 CinA family protein YfaY
ribA,GTP cyclohydrolase 2
yniD,uncharacterized protein YniD
manZ,mannose-specific PTS enzyme IID component
narU,nitrate/nitrite transporter NarU
narV,nitrate reductase Z subunit &gamma;
yibA,putative lyase containing HEAT-repeat
hiuH,hydroxyisourate hydrolase / transthyretin-related protein
yihX,&alpha;-D-glucose-1-phosphate phosphatase YihX
yfeO,putative transport protein YfeO
cusC,copper/silver export system outer membrane channel
yncO,protein YncO
nhaB,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB
ybfE,ribbon-helix-helix domain-containing protein YbfE
serX,tRNA-Ser(GGA)
ilvA,threonine deaminase
yjjQ,DNA-binding transcriptional repressor YjjQ
sgcX,KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain
hsrA,putative transporter HsrA
tdcB,catabolic threonine dehydratase
yedN,"putative type III secreted effector, N-terminal fragment"
tqsA,autoinducer 2 exporter
yphG,DUF5107 domain-containing protein YphG
nrfC,putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit
yfdE,acetyl-CoA:oxalate CoA-transferase
citC,citrate lyase synthetase
atpI,ATP synthase accessory factor AtpI
gyrB,DNA gyrase subunit B
mdtE,multidrug efflux pump membrane fusion protein MdtE
wcaD,colanic acid polymerase
mobA,molybdenum cofactor guanylyltransferase
yqhD,NADPH-dependent aldehyde reductase YqhD
yafO,ribosome-dependent mRNA interferase toxin YafO
tyrB,tyrosine aminotransferase
rpsM,30S ribosomal subunit protein S13
yhjE,putative transporter YhjE
galP,galactose:H<sup>+</sup> symporter
ykfL,
rffM,UDP-N-acetyl-D-mannosaminuronic acid transferase
ycbF,putative fimbrial chaperone YcbF
ybhS,ABC exporter membrane subunit YbhS
yebV,DUF1480 domain-containing protein YebV
ilvE,branched-chain-amino-acid aminotransferase
wcaB,colanic acid biosynthesis acetyltransferase WcaB
yfbU,PF03887 family protein YfbU
zapA,cell division protein ZapA
ynbC,hydrolase/methyltransferase domain-containing protein YnbC
rplE,50S ribosomal subunit protein L5
ychT,protein YchT
dcyD,D-cysteine desulfhydrase
tsgA,putative transporter TsgA
mprA,DNA-binding transcriptional regulator MprA
yfdX,protein YfdX
prpR,DNA-binding transcriptional dual regulator PrpR
yebK,DNA-binding transcriptional repressor YebK
yeiI,putative sugar kinase YeiI
yjcS,linear primary-alkylsulfatase
fecA,ferric citrate outer membrane transporter
tusE,sulfur transfer protein TusE
micA,small regulatory RNA MicA
pgpA,phosphatidylglycerophosphatase A
pcnB,poly(A) polymerase I
leuP,tRNA-Leu(CAG)
yigA,DUF484 domain-containing protein YigA
degS,serine endoprotease
yqeL,uncharacterized protein YqeL
pqiC,intermembrane transport lipoprotein PqiC
frmB,<i>S</i>-formylglutathione hydrolase FrmB
apaH,diadenosine tetraphosphatase
sfmH,putative fimbrial adhesin protein SfmH
hfq,RNA-binding protein Hfq
glyY,tRNA-Gly(GCC)
ykfH,DUF987 domain-containing protein YkfH
yfiB,lipoprotein YfiB
yggI,protein YggI
rluB,23S rRNA pseudouridine<sup>2605</sup> synthase
sdhD,"succinate:quinone oxidoreductase, membrane protein SdhD"
tufA,translation elongation factor Tu 1
gudX,glucarate dehydratase-related protein
ybjN,protein YbjN
insI2,
ybjO,putative inner membrane protein
yahC,uncharacterized protein YahC
rlmA,23S rRNA m<sup>1</sup>G745 methyltransferase
gltA,citrate synthase
fucU,L-fucose mutarotase
pntA,pyridine nucleotide transhydrogenase subunit &alpha;
eutH,putative ethanolamine permease EutH
fepE,polysaccharide co-polymerase family protein FepE
rplF,50S ribosomal subunit protein L6
amiD,<i>N</i>-acetylmuramoyl-L-alanine amidase D
lpxK,tetraacyldisaccharide 4'-kinase
uacT,urate:H<sup>+</sup> symporter
macA,ABC-type tripartite efflux pump membrane fusion protein
pgl,6-phosphogluconolactonase
ttcA,tRNA cytosine<sup>32</sup> 2-sulfurtransferase TtcA
mngB,&alpha;-mannosidase
agp,glucose-1-phosphatase
ebgR,DNA-binding transcriptional repressor EbgR
tdcA,DNA-binding transcriptional activator TdcA
accB,biotin carboxyl carrier protein
leuO,DNA-binding transcriptional dual regulator LeuO
allR,DNA-binding transcriptional repressor AllR
sgcE,KpLE2 phage-like element; putative epimerase SgcE
yaiX,"putative acyltransferase, N-terminal fragment"
yibJ,putative RHS domain-containing protein YibJ
yrbL,protein kinase-like domain-containing protein YrbL
yccM,putative electron transport protein YccM
thiF,sulfur carrier protein ThiS adenylyltransferase
serA,phosphoglycerate dehydrogenase
agaR,DNA-binding transcriptional repressor AgaR
nfsB,NAD(P)H-dependent nitroreductase NfsB
glyV,tRNA-Gly(GCC)
yfgM,ancillary SecYEG translocon subunit
tnaB,tryptophan:H+ symporter TnaB
atpH,ATP synthase F<sub>1</sub> complex subunit &delta;
nuoL,NADH:quinone oxidoreductase subunit L
ybbC,PF15631 family protein YbbC
cas2,CRISPR-associated endoribonuclease Cas2
kilR,Rac prophage; inhibitor of FtsZ
yohK,putative 3-hydroxypropanoate export protein YohK
argR,DNA-binding transcriptional dual regulator ArgR
plsX,putative phosphate acyltransferase
rep,ATP-dependent DNA helicase Rep
cheA,chemotaxis protein CheA // chemotaxis protein CheA(S)
rrlC,23S ribosomal RNA
ghrB,glyoxylate reductase
tisB,membrane-depolarizing toxin TisB
lysA,diaminopimelate decarboxylase
ypeD,protein YpeD
yjhI,KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI
ftnB,putative ferritin-like protein
dnaQ,DNA polymerase III subunit &epsilon;
cvrA,putative K<sup>+</sup>:H<sup>+</sup> antiporter
fryB,putative PTS enzyme IIB component FryB
ybiI,zinc finger domain-containing protein YbiI
serB,phosphoserine phosphatase
ubiI,2-octaprenylphenol 6-hydroxylase
rpsT,30S ribosomal subunit protein S20
yqjC,DUF1090 domain-containing protein YqjC
ccmD,cytochrome <i>c</i> maturation protein D
fieF,Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter
nudL,putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity
yebO,uncharacterized protein YebO
dauA,aerobic C4-dicarboxylate transporter DauA
yihP,"putative 2,3-dihydroxypropane-1-sulfonate export protein"
yehX,glycine betaine ABC transporter ATP binding subunit YehX
paaJ,&beta;-ketoadipyl-CoA thiolase
ftsL,cell division protein FtsL
yghD,putative type II secretion system M-type protein YghD
yjjW,putative glycyl-radical enzyme activating enzyme YjjW
fabF,3-oxoacyl-[acyl carrier protein] synthase 2
glpR,DNA-binding transcriptional repressor GlpR
yibY,protein YibY
flgB,flagellar basal-body rod protein FlgB
yfdY,DUF2545 domain-containing protein YfdY
cspD,DNA replication inhibitor CspD
hyaA,hydrogenase 1 small subunit
araH,arabinose ABC transporter membrane subunit
yqgG,protein YqgG
ydcI,DNA-binding transcriptional dual regulator YdcI
rplU,50S ribosomal subunit protein L21
ycgH,"putative transporter component, N-terminal fragment"
gspG,type II secretion system major pseudopilin GspG
pdeR,cyclic di-GMP phosphodiesterase PdeR
lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase
ldcA,murein tetrapeptide carboxypeptidase
yhaV,ribosome-dependent mRNA interferase toxin YhaV
sgcA,putative PTS enzyme IIA component SgcA
aldA,aldehyde dehydrogenase A
sseA,3-mercaptopyruvate sulfurtransferase
ythA,KpLE2 phage-like element; uncharacterized protein YthA
gspC,type II secretion system protein GspC
glnW,tRNA-Gln(UUG)
araE,arabinose:H<sup>+</sup> symporter
yaaJ,putative transporter YaaJ
mukB,chromosome partitioning protein MukB
trmB,tRNA m<sup>7</sup>G46 methyltransferase
ychJ,NTF2-like domain-containing protein YchJ
hsdM,type I restriction enzyme EcoKI methylase subunit
ycjU,&beta;-phosphoglucomutase
pal,peptidoglycan-associated outer membrane lipoprotein Pal
yeeH,
ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
ascG,DNA-binding transcriptional repressor AscG
nudF,ADP-sugar pyrophosphatase
torA,trimethylamine <i>N</i>-oxide reductase 1
yicL,putative transporter YicL
wcaM,putative colanic acid biosynthesis protein WcaM
cmoM,tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase
yhhS,putative transporter YhhS
lpxD,UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase
ycgM,putative isomerase/hydrolase
msbA,ATP-binding lipopolysaccharide transport protein
yiaO,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein"
insH10,IS<i>5</i> transposase and trans-activator
fadM,long-chain acyl-CoA thioesterase FadM
purM,phosphoribosylformylglycinamide cyclo-ligase
ecpC,putative fimbrial usher protein EcpC
pphC,protein-serine/threonine phosphatase PphC
yfcF,glutathione <i>S</i>-transferase YfcF
lapB,lipopolysaccharide assembly protein B
menC,o-succinylbenzoate synthase
idnO,5-keto-D-gluconate 5-reductase
hyfG,hydrogenase 4 catalytic subunit HyfG
yqhI,protein YqhI
mepS,"peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase"
ygaM,DUF883 domain-containing protein YgaM
priB,primosomal replication protein N
gstA,glutathione <i>S</i>-transferase GstA
ynhH,protein YnhH
iscU,scaffold protein for iron-sulfur cluster assembly
ilvH,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit"
lsrG,"(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase"
tauB,taurine ABC transporter ATP binding subunit
ubiA,4-hydroxybenzoate octaprenyltransferase
gshB,glutathione synthetase
ftsW,peptidoglycan glycosyltransferase FtsW
rpoE,RNA polymerase sigma factor RpoE
yciO,putative RNA-binding protein YciO
asnB,asparagine synthetase B
ybfQ,inactive transposase YbfQ
yhfZ,putative DNA-binding transcriptional regulator YhfZ
yeiP,elongation factor P-like protein YeiP
ibaG,acid stress protein IbaG
tnaA,tryptophanase
asnT,tRNA-Asn(GUU)
yigI,acyl-CoA thioesterase YigI
yfdM,CPS-53 (KpLE1) prophage; putative methyltransferase YfdM
rutF,FMN reductase RutF
yjhV,KpLE2 phage-like element; putative uncharacterized protein YjhV
dkgB,methylglyoxal reductase DkgB
acrA,multidrug efflux pump membrane fusion lipoprotein AcrA
btsT,pyruvate:H<sup>+</sup> symporter
phnF,putative transcriptional regulator PhnF
ydcO,putative transport protein YdcO
pspB,phage shock protein B
fixC,putative oxidoreductase FixC
gfcD,putative lipoprotein GfcD
rutC,3-aminoacrylate deaminase
ribC,riboflavin synthase
ryeG,small RNA RyeG
cspH,CspA family protein CspH
tfaP,e14 prophage; putative tail fiber assembly protein TfaP
ykfI,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
yceI,protein YceI
cpoB,cell division coordinator CpoB
yhcE,putative uncharacterized protein YhcE
ldtC,"L,D-transpeptidase LdtC"
dapD,tetrahydrodipicolinate succinylase
yodD,stress-induced protein
rhaS,DNA-binding transcriptional activator RhaS
murP,N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter
hlyE,hemolysin E
gdx,guanidinium exporter
rhsB,rhs element protein RhsB
rsgA,ribosome small subunit-dependent GTPase A
istR,small regulatory RNA IstR-1 // small RNA IstR-2
rdlD,antisense regulatory RNA RdlD
yajI,putative lipoprotein YajI
ydgU,uncharacterized protein YdgU
ucpA,oxidoreductase UcpA
dicB,Qin prophage; cell division inhibition protein DicB
uxaB,tagaturonate reductase
nuoA,NADH:quinone oxidoreductase subunit A
iscS,cysteine desulfurase IscS
araF,arabinose ABC transporter periplasmic binding protein
bfd,bacterioferritin-associated ferredoxin
yibW,
nfsA,NADPH-dependent nitro/quinone reductase NfsA
yhaK,bicupin-related protein
lomR,Rac prophage; protein LomR_1
glyA,serine hydroxymethyltransferase
rsmA,16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase
timR,putative small regulatory RNA TimR
atpD,ATP synthase F<sub>1</sub> complex subunit &beta;
tsaE,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit"
yfbK,IPR002035/DUF3520 domain-containing protein YfbK
yadM,putative fimbrial protein YadM
oppD,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppD
wzxE,lipid III<sub>ECA</sub> flippase
yhhH,PF15631 family protein YhhH
lsrD,Autoinducer-2 ABC transporter membrane subunit LsrD
nrdR,NrdR transcriptional repressor
allS,DNA-binding transcriptional activator AllS
ybgI,radiation resistance protein YbgI
yoeB,ribosome-dependent mRNA interferase toxin YoeB
malQ,4-&alpha;-glucanotransferase
yibQ,divergent polysaccharide deacetylase domain-containing protein YibQ
yggM,DUF1202 domain-containing protein YggM
acnB,AcnB
rseC,protein RseC
phoA,alkaline phosphatase
gadW,DNA-binding transcriptional dual regulator GadW
pdeN,putative c-di-GMP phosphodiesterase PdeN
rrrQ,Qin prophage; putative lysozyme
satP,acetate/succinate:H<sup>+</sup> symporter
lit,e14 prophage; cell death peptidase Lit
ribF,bifunctional riboflavin kinase / FMN adenylyltransferase
phnK,ATP-binding cassette protein PhnK
yifN,putative toxin YifN
pheV,tRNA-Phe(GAA)
yidA,sugar phosphatase YidA
fpr,flavodoxin/ferredoxin-NADP<sup>+</sup> reductase
yicT,
yhgP,protein YhgP
thrS,threonine&mdash;tRNA ligase
rfbX,polyisoprenol-linked O16-antigen repeat unit flippase
ampE,protein AmpE
yieF,quinone reductase
yhdV,lipoprotein YhdV
dhaK,dihydroxyacetone kinase subunit K
holD,DNA polymerase III subunit &psi;
rfaD,ADP-L-glycero-D-mannoheptose 6-epimerase
ybfP,lipoprotein YbfP
zwf,NADP+-dependent glucose-6-phosphate dehydrogenase
sfmC,putative fimbrial chaperone SfmC
hemF,coproporphyrinogen III oxidase
sroC,small regulatory RNA SroC
yibX,protein YibX-S // protein YibX
ybjD,DUF2813 domain-containing protein YbjD
alaC,glutamate&mdash;pyruvate aminotransferase AlaC
oppF,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF
oxyS,small regulatory RNA OxyS
yhfA,OsmC family protein YhfA
cho,excinuclease Cho
cyoA,cytochrome <i>bo</i><sub>3</sub> subunit 2
fliA,RNA polymerase sigma factor FliA
yhgF,RNA-binding protein YhgF
fumB,fumarase B
yadG,putative ABC transporter ATP-binding protein YadG
lolA,outer membrane lipoprotein carrier protein
ribE,"6,7-dimethyl-8-ribityllumazine synthase"
cyaY,frataxin CyaY
fadE,acyl-CoA dehydrogenase
miaA,tRNA dimethylallyltransferase
trmL,tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase
emrE,DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE
katG,catalase/hydroperoxidase HPI
glcE,"glycolate dehydrogenase, putative FAD-binding subunit"
maa,maltose <i>O</i>-acetyltransferase
paaB,"phenylacetyl-CoA 1,2-epoxidase subunit B"
fecB,ferric citrate ABC transporter periplasmic binding protein
ghoS,antitoxin of the GhoTS toxin-antitoxin system
xthA,exodeoxyribonuclease III
cyaR,small regulatory RNA CyaR
ycjR,3-dehydro-D-guloside 4-epimerase
lysV,tRNA-Lys(UUU)
ushA,5'-nucleotidase / UDP-sugar hydrolase
alx,putative membrane-bound redox modulator Alx
sdhE,FAD assembly factor
ygeO,putative uncharacterized protein YgeO
ysaB,putative lipoprotein YsaB
rimP,ribosome maturation factor RimP
melB,melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter
lldR,DNA-binding transcriptional dual regulator LldR
moeA,molybdopterin molybdotransferase
intD,DLP12 prophage; putative integrase
ybaQ,DNA-binding transcriptional regulator YbaQ
yqiB,DUF1249 domain-containing protein YqiB
yebB,putative papain-like amidase YebB
yidF,uncharacterized protein YidF
dsrB,protein DsrB
ygaY,"putative transporter YgaY, N-terminal fragment"
frwC,putative PTS enzyme IIC component FrwC
nohD,DLP12 prophage; putative DNA-packaging protein NohD
rbsZ,small regulatory RNA RbsZ
chbR,ChbR
yaiW,surface-exposed outer membrane lipoprotein
iroK,protein IroK
grxB,oxidized glutaredoxin 2 // reduced glutaredoxin 2
hipA,phosphorylated serine/threonine-protein kinase HipA // serine/threonine-protein kinase toxin HipA
moaA,"GTP 3',8'-cyclase"
yieK,putative glucosamine-6-phosphate deaminase YieK
acpH,acyl carrier protein phosphodiesterase
cyoE,heme O synthase
micC,small regulatory RNA MicC
cynS,cyanase
yggF,"fructose 1,6-bisphosphatase YggF"
rydB,small regulatory RNA RydB
yecE,DUF72 domain-containing protein YecE
yacG,DNA gyrase inhibitor YacG
yhbO,protein/nucleic acid deglycase 2
ogrK,prophage P2 late control protein OgrK
